"species";"result";"ViltID";"Ankomstdatum";"coords.x1";"coords.x2"
"Fjällvråk";"0";"VLT 517/18";"2018-03-16";"16.5166735485087";"60.5865065474169"
"Slaguggla";"0";"VLT 724/18";"2018-04-11";"16.5141745278501";"61.922819017965"
"Gråsiska";"0";"VLT 1159/17";"2017-03-16";"17.1490758828065";"61.2681362255533"
"Korp";"0";"VLT 1744/17";"2017-06-13";"17.0360475924705";"59.3619081940256"
"Stäpphök";"0";"VLT 1982/17";"2017-07-27";"22.1936844144543";"65.5630682964258"
"Stadsduva";"0";"VLT 3003/17";"2017-11-24";"18.563091789962";"57.6437156849902"
"Ormvråk";"0";"VLT1345/18";"2018-07-06";"18.3357335720366";"59.9026493110384"
"Knölsvan";"0";"VLT 1397/18";"2018-07-24";"14.0127834735484";"59.337416030204"
"Berguv";"0";"VLT 2033/18";"2018-10-05";"13.4016667074116";"57.8121987975193"
"Stadsduva";"0";"VLT 2115/18";"2018-10-19";"12.0669021856852";"57.8017336986722"
"Stadsduva";"0";"VLT 2212/18";"2018-10-31";"17.9010150664992";"59.4137368720867"
"Kungsörn";"0";"VLT 387/19";"2019-02-26";"22.0207104540787";"66.1775971557573"
"Havsörn";"0";"VLT 553/19";"2019-03-15";"17.5253603607005";"59.9938170817359"
"Gråspett";"0";"VLT 1254/18";"2018-06-14";"18.8443850816886";"63.208841891176"
"Rörhöna";"0";"VLT 2047/18";"2018-10-10";"12.9917013238896";"55.5909076610504"
"Domherre";"0";"VLT 1/17";"2017-01-02";"21.6819854185746";"65.4310919325259"
"Berguv";"0";"VLT 65/17";"2017-01-11";"14.9497425675434";"60.5048715261431"
"Kråka";"0";"VLT 177/17";"2017-01-19";"12.6346383138601";"56.1000472891228"
"Sparvhök";"0";"VLT 1002/17";"2017-03-02";"13.5441901155143";"59.871278944376"
"Havsörn";"0";"VLT 1142/17";"2017-03-15";"20.9801951973607";"64.1817634177041"
"Kanadagås";"0";"VLT 1710/17";"2017-06-02";"22.6929801925704";"65.7770832041986"
"Storskarv";"0";"VLT 2096/17";"2017-08-18";"17.3023541471575";"59.7379852182654"
"Tornfalk";"0";"VLT 2100/17";"2017-08-18";"16.7050929626554";"60.462749744463"
"Kattuggla";"0";"VLT 2134/17";"2017-08-23";"14.5345208735135";"59.3406414612989"
"Havsörn";"0";"VLT 3048/17";"2017-12-12";"17.6563518415852";"60.2588849110125"
"Sparvhök";"0";"VLT 282/18";"2018-02-22";"16.1834224928337";"58.5861500388131"
"Havsörn";"0";"VLT 332/18";"2018-03-02";"15.1520892330744";"58.705664052761"
"Ormvråk";"0";"VLT 592/18";"2018-03-27";"15.6175038707966";"58.3172307730153"
"Stadsduva";"0";"VLT 561/18";"2018-03-22";"12.9993978693219";"55.6097746466432"
"Slaguggla";"0";"VLT 590/18";"2018-03-27";"18.2896521738473";"60.2884689623864"
"Ormvråk";"0";"VLT 743/18";"2018-04-12";"13.4452101046155";"55.6546879347457"
"Kungsörn";"0";"VLT 1459/18";"2018-08-21";"14.1459951962182";"55.9203008491041"
"Lärkfalk";"0";"VLT 1474/18";"2018-08-23";"16.0334178002476";"61.8454510395815"
"Ormvråk";"0";"VLT 1468/18";"2018-08-23";"16.7281204459089";"59.6786374198935"
"Duvhök";"0";"VLT 1500/18";"2018-08-27";"17.563103935784";"60.0022710838284"
"Tornfalk";"0";"VLT 1927/18";"2018-09-27";"12.9881536738978";"55.5011560245675"
"Slaguggla";"0";"VLT 2385/18";"2018-11-20";"15.2432695045551";"60.828533888352"
"Havsörn";"0";"VLT 2416/18";"2018-11-21";"17.4459484979063";"60.5603848671355"
"Kungsörn";"0";"VLT 388/19";"2019-02-26";"17.4836191607437";"66.4125995214125"
"Kungsörn";"0";"VLT 640/19, Acc.nr20196164";"2019-04-02";"13.9883386485755";"56.140833792467"
"Duvhök";"1";"VLT 23/17";"2017-01-05";"16.8372488031657";"56.8315757224064"
"Gråsiska";"0";"VLT 944/17";"2017-02-23";"14.089404417548";"59.2971198243479"
"Havsörn";"0";"VLT 188/17";"2017-01-19";"17.4254315589173";"59.0488960185249"
"Havsörn";"0";"VLT 1415/17";"2017-04-25";"15.5356798912455";"60.4455344976915"
"Gräsand";"0";"VLT 1893/17";"2017-07-11";"16.638169247519";"59.0674960364171"
"Röd glada";"0";"VLT 391/18";"2018-03-08";"13.0097791682905";"55.4986957295846"
"Kattuggla";"0";"VLT 537/18";"2018-03-21";"17.837337144915";"59.9517036835571"
"Havsörn";"0";"VLT 510/18";"2018-03-16";"17.1857006406774";"60.7433942986203"
"Knubbsäl";"0";"VLT 2089/18";"2018-10-18";"12.8224601189091";"55.3893905394675"
"Stadsduva";"0";"VLT 2213/18";"2018-10-31";"17.9010150664992";"59.4137368720867"
"Kråka";"0";"VLT 2236/18";"2018-11-01";"16.4829568058773";"59.3735086200243"
"Pärluggla";"0";"VLT 2295/18";"2018-11-08";"18.2920814520777";"64.613928242919"
"Gräsand";"0";"VLT 238/17";"2017-01-25";"15.2295618912602";"57.4809204961626"
"Kungsörn";"0";"VLT1514/17";"2017-05-10";"18.7341672215764";"57.7358161190296"
"Grönfink";"0";"VLT 1610/17";"2017-05-18";"15.1779786881797";"56.5949487028797"
"Grönfink";"0";"VLT 1643/17";"2017-05-24";"13.3977949326865";"55.7350502004429"
"Kaja";"0";"VLT 1839/17";"2017-06-28";"16.4910006599105";"59.3659081904589"
"Gräsand";"0";"VLT 2019/17";"2017-08-03";"12.991335584746";"55.6017720949709"
"Svart stork";"0";"VLT 2083/17";"2017-08-15";"14.2806851649737";"56.0436751349417"
"Grönfink";"0";"VLT 2657/17";"2017-10-09";"17.8760376935594";"59.3164584380967"
"Havsörn";"0";"VLT 2974/17";"2017-11-21";"18.234908825626";"59.8928726471903"
"Gråsiska";"0";"VLT 220/18";"2018-02-14";"13.9620230085614";"58.1743123602247"
"Havsörn";"0";"VLT 235/18";"2018-02-15";"17.0220257462711";"60.9239409858593"
"Havsörn";"0";"VLT 854/18";"2018-04-25";"16.2742301133091";"60.1479481397253"
"Kungsörn";"0";"VLT 1595/18";"2018-08-30";"13.444995083352";"56.8233770965472"
"Knölsvan";"0";"VLT 2629/18";"2018-12-20";"18.1405732684991";"59.3108909127715"
"Kungsörn";"0";"VLT 2639/18";"2018-12-27";"16.2559838379884";"59.6793090979788"
"Duva (Släkte)";"0";"VLT 344/19";"2019-02-18";"16.3653759656336";"56.6641059376931"
"Havsörn";"0";"VLT 901/19";"2019-05-15";"17.7278247498379";"60.2046039289897"
"Ringduva";"0";"VLT 999/19";"2019-05-27";"17.5626418822698";"59.8531467156394"
"Knölsvan";"1";"VLT 290/17";"2017-02-01";"18.1320283464961";"59.3251605015992"
"Gräsand";"0";"VLT 854/17";"2017-02-08";"18.743821131933";"59.7678893124079"
"Skrattmås";"0";"VLT 969/17";"2017-02-28";"12.9913959080515";"55.6029236639281"
"Stenknäck";"0";"VLT 2028/17";"2017-08-04";"14.8711693666687";"59.1736777458433"
"Sothöna";"0";"VLT 2247/17";"2017-09-01";"12.9810787950181";"55.5998377464398"
"Havsörn";"0";"VLT 2892/17Acc nr. 20176346";"2017-11-14";"18.2192549345932";"57.0911996279486"
"Kaja";"0";"VLT 62/18";"2018-01-18";"12.9472412375404";"55.4103461200016"
"Kungsörn";"0";"VLT 270/18";"2018-02-21";"17.8350096410154";"62.6735048553627"
"Havsörn";"0";"VLT 380/18";"2018-03-07";"14.3899973419064";"56.2900009691941"
"Svärta";"0";"VLT 1166/18";"2018-05-30";"16.9721171995042";"60.7691070946326"
"Kaja";"0";"VLT 1007/17";"2017-03-02";"13.1872800586387";"55.6983761139483"
"Havsörn";"0";"acc.nr.20176189, VLT 2424/17";"2017-09-14";"16.5185973617514";"57.9012959579286"
"Fiskmås";"0";"VLT 1444/18";"2018-08-15";"13.7244325826967";"60.6707847004429"
"Råka";"0";"VLT 1730/18";"2018-09-07";"12.2599774778893";"57.0680604447337"
"Stadsduva";"0";"VLT 2331/18";"2018-11-13";"13.4157492177642";"57.7911506742247"
"Kanadagås";"0";"VLT 2605/18";"2018-12-17";"17.9653179001629";"59.3722811043981"
"Havsörn";"0";"VLT 787/19";"2019-04-26";"15.8051599531314";"59.1791960965754"
"Koltrast";"0";"VLT 1006/19";"2019-05-27";"17.6173503714263";"59.8355896564521"
"Ormvråk";"0";"VLT 40/17";"2017-01-10";"14.1991366421899";"55.6710026789624"
"Sångsvan";"0";"VLT 87/17";"2017-01-12";"13.1025440884481";"57.2457828461395"
"Kaja";"0";"VLT 953/17";"2017-02-27";"16.5488579286943";"59.598985767994"
"Gräsand";"1";"VLT 973/17";"2017-02-28";"18.370171843482";"59.3273189339219"
